tweet_id,created_at,in_reply_to_status_id,in_reply_to_user_id,is_quote_status,retweet_count,favorite_count,jpg_url,retweeted,favorited
845812042753855489,2017-03-26 01:38:00+00:00,,,False,9162,30212,http://pbs.twimg.com/media/C7ztkInW0AEh1CD.jpg,False,False
845306882940190720,2017-03-24 16:10:40+00:00,,,False,5664,24083,http://pbs.twimg.com/media/C7siH5DXkAACnDT.jpg,False,False
844979544864018432,2017-03-23 18:29:57+00:00,7.590995235327795e+17,4196983835.0,False,2705,14070,http://pbs.twimg.com/media/C7n4aQ5VsAAc1LN.jpg,False,False
843604394117681152,2017-03-19 23:25:35+00:00,,,False,2897,17465,http://pbs.twimg.com/media/C7UVuE_U0AI8GGl.jpg,False,False
842846295480000512,2017-03-17 21:13:10+00:00,,,False,3798,15757,http://pbs.twimg.com/media/C7JkO0rX0AErh7X.jpg,False,False
842535590457499648,2017-03-17 00:38:32+00:00,,,False,3702,18733,http://pbs.twimg.com/media/C7FJpgVW4AIDzi6.jpg,False,False
842115215311396866,2017-03-15 20:48:07+00:00,,,False,3201,14510,http://pbs.twimg.com/media/C6_LTCZWoAAKm_O.jpg,False,False
841077006473256960,2017-03-13 00:02:39+00:00,,,False,5601,23731,http://pbs.twimg.com/media/C6wbE5bXUAAh1Hv.jpg,False,False
840696689258311684,2017-03-11 22:51:24+00:00,,,False,1038,12745,http://pbs.twimg.com/media/C6rBLenU0AAr8MN.jpg,False,False
840370681858686976,2017-03-11 01:15:58+00:00,,,False,4810,17086,http://pbs.twimg.com/media/C6mYrK0UwAANhep.jpg,False,False
839990271299457024,2017-03-10 00:04:21+00:00,,,False,2427,13937,http://pbs.twimg.com/media/C6g-sX_VAAEOlfG.jpg,False,False
839239871831150596,2017-03-07 22:22:32+00:00,,,False,6926,28271,http://pbs.twimg.com/media/C6WUNUtXMAIIk1y.jpg,False,False
838921590096166913,2017-03-07 01:17:48+00:00,,,False,2194,11621,http://pbs.twimg.com/media/C6Ryuf7UoAAFX4a.jpg,False,False
838476387338051585,2017-03-05 19:48:43+00:00,,,False,5095,23483,http://pbs.twimg.com/media/C6Ld0wcWgAAF0xR.jpg,False,False
838083903487373313,2017-03-04 17:49:08+00:00,,,False,3348,18331,http://pbs.twimg.com/media/C6F42afVUAA9Wlz.jpg,False,False
837820167694528512,2017-03-04 00:21:08+00:00,,,False,8331,35578,http://pbs.twimg.com/media/C6CI_jbVAAA3-a1.jpg,False,False
837366284874571778,2017-03-02 18:17:34+00:00,,,False,5632,22029,http://pbs.twimg.com/media/C57sMJwXMAASBSx.jpg,False,False
837110210464448512,2017-03-02 01:20:01+00:00,,,False,2539,16681,http://pbs.twimg.com/media/C54DS1kXQAEU5pS.jpg,False,False
835574547218894849,2017-02-25 19:37:50+00:00,,,False,3853,18565,http://pbs.twimg.com/media/C5iOnigWcAAU3Ry.jpg,False,False
835152434251116546,2017-02-24 15:40:31+00:00,,,False,3209,23425,http://pbs.twimg.com/media/C5cOtWXXEAUb9uj.jpg,False,False
834574053763584002,2017-02-23 01:22:14+00:00,,,False,2692,14265,http://pbs.twimg.com/media/C5UAqgyXAAAbMWH.jpg,False,False
